user_input,expected_response,category,supermarket,context,currency,measurement_system,date_format,storage_type,predicted_intent
"What can I make with tesco chicken breast, potatoes, carrots?","Since you're shopping at Tesco, their fresh produce is excellent for this dish!",recipe_suggestion,tesco,uk_food_assistant,GBP,metric,DD/MM/YYYY,,recipe_suggestion
"Recipe ideas for tesco chicken breast, potatoes, carrots?","Perfect for a quick dinner! Sauté the protein first, then add vegetables and cook until tender. Season with salt, pepper, and your favorite herbs.",recipe_suggestion,tesco,uk_food_assistant,GBP,metric,DD/MM/YYYY,,recipe_suggestion
"Quick meal with tesco chicken breast, potatoes, carrots?","For a quick meal with tesco chicken breast, potatoes, carrots, try a 15-minute stir-fry or one-pan dish. Cook everything together with simple seasonings for maximum flavor and minimal time!",quick_meal,tesco,uk_food_assistant,GBP,metric,DD/MM/YYYY,,general_advice
"What can I make with sainsburys salmon, rice, broccoli?","Great combination! Try making a stir-fry - cook the protein first, then add vegetables and finish with a simple sauce of soy sauce, garlic, and ginger.",recipe_suggestion,sainsburys,uk_food_assistant,GBP,metric,DD/MM/YYYY,,recipe_suggestion
"Recipe ideas for sainsburys salmon, rice, broccoli?","Great combination! Try making a stir-fry - cook the protein first, then add vegetables and finish with a simple sauce of soy sauce, garlic, and ginger.",recipe_suggestion,sainsburys,uk_food_assistant,GBP,metric,DD/MM/YYYY,,recipe_suggestion
"Quick meal with sainsburys salmon, rice, broccoli?","For a quick meal with sainsburys salmon, rice, broccoli, try a 15-minute stir-fry or one-pan dish. Cook everything together with simple seasonings for maximum flavor and minimal time!",quick_meal,sainsburys,uk_food_assistant,GBP,metric,DD/MM/YYYY,,general_advice
"What can I make with morrisons mince, onions, pasta?","Great combination! Try making a stir-fry - cook the protein first, then add vegetables and finish with a simple sauce of soy sauce, garlic, and ginger.",recipe_suggestion,morrisons,uk_food_assistant,GBP,metric,DD/MM/YYYY,,recipe_suggestion
"Recipe ideas for morrisons mince, onions, pasta?","Great combination! Try making a stir-fry - cook the protein first, then add vegetables and finish with a simple sauce of soy sauce, garlic, and ginger.",recipe_suggestion,morrisons,uk_food_assistant,GBP,metric,DD/MM/YYYY,,recipe_suggestion
"Quick meal with morrisons mince, onions, pasta?","For a quick meal with morrisons mince, onions, pasta, try a 15-minute stir-fry or one-pan dish. Cook everything together with simple seasonings for maximum flavor and minimal time!",quick_meal,morrisons,uk_food_assistant,GBP,metric,DD/MM/YYYY,,general_advice
"What can I make with asda vegetables, quinoa, olive oil?","Since you're shopping at Asda, their fresh produce is excellent for this dish!",recipe_suggestion,asda,uk_food_assistant,GBP,metric,DD/MM/YYYY,,recipe_suggestion
"Recipe ideas for asda vegetables, quinoa, olive oil?","Great combination! Try making a stir-fry - cook the protein first, then add vegetables and finish with a simple sauce of soy sauce, garlic, and ginger.",recipe_suggestion,asda,uk_food_assistant,GBP,metric,DD/MM/YYYY,,recipe_suggestion
"Quick meal with asda vegetables, quinoa, olive oil?","For a quick meal with asda vegetables, quinoa, olive oil, try a 15-minute stir-fry or one-pan dish. Cook everything together with simple seasonings for maximum flavor and minimal time!",quick_meal,asda,uk_food_assistant,GBP,metric,DD/MM/YYYY,,general_advice
"What can I make with tesco eggs, milk, flour, cheese?","Perfect for a quick dinner! Sauté the protein first, then add vegetables and cook until tender. Season with salt, pepper, and your favorite herbs.",recipe_suggestion,tesco,uk_food_assistant,GBP,metric,DD/MM/YYYY,,recipe_suggestion
"Recipe ideas for tesco eggs, milk, flour, cheese?","Great combination! Try making a stir-fry - cook the protein first, then add vegetables and finish with a simple sauce of soy sauce, garlic, and ginger.",recipe_suggestion,tesco,uk_food_assistant,GBP,metric,DD/MM/YYYY,,recipe_suggestion
"Quick meal with tesco eggs, milk, flour, cheese?","For a quick meal with tesco eggs, milk, flour, cheese, try a 15-minute stir-fry or one-pan dish. Cook everything together with simple seasonings for maximum flavor and minimal time!",quick_meal,tesco,uk_food_assistant,GBP,metric,DD/MM/YYYY,,general_advice
"What can I make with sainsburys beef, yorkshire pudding mix, vegetables?","Perfect for a quick dinner! Sauté the protein first, then add vegetables and cook until tender. Season with salt, pepper, and your favorite herbs.",recipe_suggestion,sainsburys,uk_food_assistant,GBP,metric,DD/MM/YYYY,,recipe_suggestion
"Recipe ideas for sainsburys beef, yorkshire pudding mix, vegetables?","Perfect for a quick dinner! Sauté the protein first, then add vegetables and cook until tender. Season with salt, pepper, and your favorite herbs.",recipe_suggestion,sainsburys,uk_food_assistant,GBP,metric,DD/MM/YYYY,,recipe_suggestion
"Quick meal with sainsburys beef, yorkshire pudding mix, vegetables?","For a quick meal with sainsburys beef, yorkshire pudding mix, vegetables, try a 15-minute stir-fry or one-pan dish. Cook everything together with simple seasonings for maximum flavor and minimal time!",quick_meal,sainsburys,uk_food_assistant,GBP,metric,DD/MM/YYYY,,general_advice
What's the nutritional value of Chicken Breast?,"Chicken Breast per 100g: 165 calories, 31g protein, 3.6g fat, 0g carbs. It's a great source of protein and nutrients!",nutrition_info,,uk_food_assistant,GBP,metric,DD/MM/YYYY,,nutrition_info
How many calories in Chicken Breast?,Chicken Breast contains 165 calories per 100g.,calorie_info,,uk_food_assistant,GBP,metric,DD/MM/YYYY,,nutrition_info
Protein content in Chicken Breast?,Chicken Breast has 31g of protein per 100g.,protein_info,,uk_food_assistant,GBP,metric,DD/MM/YYYY,,nutrition_info
What's the nutritional value of Salmon?,"Salmon per 100g: 208 calories, 25g protein, 12g fat, 0g carbs. It's a great source of protein and nutrients!",nutrition_info,,uk_food_assistant,GBP,metric,DD/MM/YYYY,,nutrition_info
How many calories in Salmon?,Salmon contains 208 calories per 100g.,calorie_info,,uk_food_assistant,GBP,metric,DD/MM/YYYY,,nutrition_info
Protein content in Salmon?,Salmon has 25g of protein per 100g.,protein_info,,uk_food_assistant,GBP,metric,DD/MM/YYYY,,nutrition_info
What's the nutritional value of Whole Milk?,"Whole Milk per 100g: 61 calories, 3.2g protein, 3.3g fat, 4.7g carbs. It's a great source of protein and nutrients!",nutrition_info,,uk_food_assistant,GBP,metric,DD/MM/YYYY,,nutrition_info
How many calories in Whole Milk?,Whole Milk contains 61 calories per 100g.,calorie_info,,uk_food_assistant,GBP,metric,DD/MM/YYYY,,nutrition_info
